log_id|provider_id|role|specialty|panel_seq
88239045|S09064|Assistant Surgeon|Obstetrics & Gynecology|2
88239045|A00552|Anesthesiologist|Anesthesiology|
88239045|N01100|Circulating Nurse|Nursing|
88207398|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88207398|A00541|Anesthesiologist|Anesthesiology|
88207398|N01099|Circulating Nurse|Nursing|
88228496|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88228496|A00582|Anesthesiologist|Anesthesiology|
88228496|N01041|Circulating Nurse|Nursing|
88204795|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88204795|A00505|Anesthesiologist|Anesthesiology|
88204795|N01141|Circulating Nurse|Nursing|
88205069|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88205069|A00581|Anesthesiologist|Anesthesiology|
88205069|N01087|Circulating Nurse|Nursing|
88233565|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88233565|A00583|Anesthesiologist|Anesthesiology|
88233565|N01105|Circulating Nurse|Nursing|
88225345|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88225345|S09029|Assistant Surgeon|Obstetrics & Gynecology|2
88225345|A00441|Anesthesiologist|Anesthesiology|
88225345|N01088|Circulating Nurse|Nursing|
88200822|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88200822|A00464|Anesthesiologist|Anesthesiology|
88200822|N01054|Circulating Nurse|Nursing|
88246580|S02901|Primary Surgeon|General Surgery|1
88246580|A00497|Anesthesiologist|Anesthesiology|
88246580|N01035|Circulating Nurse|Nursing|
88232880|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88232880|A00457|Anesthesiologist|Anesthesiology|
88232880|N01082|Circulating Nurse|Nursing|
88229455|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88229455|A00455|Anesthesiologist|Anesthesiology|
88229455|N01043|Circulating Nurse|Nursing|
88234661|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88234661|S09019|Assistant Surgeon|Obstetrics & Gynecology|2
88234661|A00471|Anesthesiologist|Anesthesiology|
88234661|N01155|Circulating Nurse|Nursing|
88235483|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88235483|S09027|Assistant Surgeon|Obstetrics & Gynecology|2
88235483|A00411|Anesthesiologist|Anesthesiology|
88235483|N01049|Circulating Nurse|Nursing|
88207124|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88207124|A00486|Anesthesiologist|Anesthesiology|
88207124|N01069|Circulating Nurse|Nursing|
88209453|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88209453|A00545|Anesthesiologist|Anesthesiology|
88209453|N01015|Circulating Nurse|Nursing|
88225893|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88225893|S09040|Assistant Surgeon|Colon & Rectal Surgery|2
88225893|A00581|Anesthesiologist|Anesthesiology|
88225893|N01194|Circulating Nurse|Nursing|
88231236|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88231236|S09051|Assistant Surgeon|Colon & Rectal Surgery|2
88231236|A00455|Anesthesiologist|Anesthesiology|
88231236|N01132|Circulating Nurse|Nursing|
88240278|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88240278|S09065|Assistant Surgeon|Obstetrics & Gynecology|2
88240278|A00538|Anesthesiologist|Anesthesiology|
88240278|N01134|Circulating Nurse|Nursing|
88224249|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88224249|A00421|Anesthesiologist|Anesthesiology|
88224249|N01193|Circulating Nurse|Nursing|
88232606|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88232606|A00463|Anesthesiologist|Anesthesiology|
88232606|N01096|Circulating Nurse|Nursing|
88218084|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88218084|S09065|Assistant Surgeon|Obstetrics & Gynecology|2
88218084|A00417|Anesthesiologist|Anesthesiology|
88218084|N01019|Circulating Nurse|Nursing|
88250690|S04188|Primary Surgeon|Orthopaedic Surgery|1
88250690|S09000|Assistant Surgeon|Plastic Surgery|2
88250690|A00572|Anesthesiologist|Anesthesiology|
88250690|N01006|Circulating Nurse|Nursing|
88240415|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88240415|A00543|Anesthesiologist|Anesthesiology|
88240415|N01044|Circulating Nurse|Nursing|
88200274|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88200274|A00497|Anesthesiologist|Anesthesiology|
88200274|N01175|Circulating Nurse|Nursing|
88228222|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88228222|S09073|Assistant Surgeon|Colon & Rectal Surgery|2
88228222|S09110|Assistant Surgeon|Obstetrics & Gynecology|3
88228222|A00563|Anesthesiologist|Anesthesiology|
88228222|N01144|Circulating Nurse|Nursing|
88250964|S04188|Primary Surgeon|Orthopaedic Surgery|1
88250964|S09008|Assistant Surgeon|Orthopaedic Surgery|2
88250964|A00473|Anesthesiologist|Anesthesiology|
88250964|N01157|Circulating Nurse|Nursing|
88211919|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88211919|A00561|Anesthesiologist|Anesthesiology|
88211919|N01168|Circulating Nurse|Nursing|
88223701|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88223701|S09002|Assistant Surgeon|Obstetrics & Gynecology|2
88223701|A00452|Anesthesiologist|Anesthesiology|
88223701|N01010|Circulating Nurse|Nursing|
88218906|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88218906|A00571|Anesthesiologist|Anesthesiology|
88218906|N01070|Circulating Nurse|Nursing|
88250142|S04188|Primary Surgeon|Orthopaedic Surgery|1
88250142|S09057|Assistant Surgeon|Orthopaedic Surgery|2
88250142|A00451|Anesthesiologist|Anesthesiology|
88250142|N01166|Circulating Nurse|Nursing|
88221509|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88221509|A00412|Anesthesiologist|Anesthesiology|
88221509|N01036|Circulating Nurse|Nursing|
88222331|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88222331|A00561|Anesthesiologist|Anesthesiology|
88222331|N01030|Circulating Nurse|Nursing|
88204658|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88204658|A00575|Anesthesiologist|Anesthesiology|
88204658|N01114|Circulating Nurse|Nursing|
88213426|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88213426|A00406|Anesthesiologist|Anesthesiology|
88213426|N01198|Circulating Nurse|Nursing|
88230277|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88230277|A00413|Anesthesiologist|Anesthesiology|
88230277|N01056|Circulating Nurse|Nursing|
88247265|S02901|Primary Surgeon|General Surgery|1
88247265|A00532|Anesthesiologist|Anesthesiology|
88247265|N01073|Circulating Nurse|Nursing|
88221098|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88221098|S09026|Assistant Surgeon|Obstetrics & Gynecology|2
88221098|A00446|Anesthesiologist|Anesthesiology|
88221098|N01033|Circulating Nurse|Nursing|
88201918|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88201918|A00419|Anesthesiologist|Anesthesiology|
88201918|N01028|Circulating Nurse|Nursing|
88218221|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88218221|S09020|Assistant Surgeon|Obstetrics & Gynecology|2
88218221|A00519|Anesthesiologist|Anesthesiology|
88218221|N01157|Circulating Nurse|Nursing|
88218769|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88218769|S09031|Assistant Surgeon|Obstetrics & Gynecology|2
88218769|A00474|Anesthesiologist|Anesthesiology|
88218769|N01193|Circulating Nurse|Nursing|
88235620|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88235620|S09010|Assistant Surgeon|Colon & Rectal Surgery|2
88235620|S09047|Assistant Surgeon|Obstetrics & Gynecology|3
88235620|A00454|Anesthesiologist|Anesthesiology|
88235620|N01036|Circulating Nurse|Nursing|
88208905|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88208905|A00586|Anesthesiologist|Anesthesiology|
88208905|N01109|Circulating Nurse|Nursing|
88252882|S03318|Primary Surgeon|Urology|1
88252882|S09053|Assistant Surgeon|General Surgery|2
88252882|S09090|Assistant Surgeon|Urology|3
88252882|A00459|Anesthesiologist|Anesthesiology|
88252882|N01058|Circulating Nurse|Nursing|
88206850|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88206850|A00452|Anesthesiologist|Anesthesiology|
88206850|N01047|Circulating Nurse|Nursing|
88209179|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88209179|A00519|Anesthesiologist|Anesthesiology|
88209179|N01160|Circulating Nurse|Nursing|
88201781|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88201781|A00507|Anesthesiologist|Anesthesiology|
88201781|N01119|Circulating Nurse|Nursing|
88238771|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88238771|S09018|Assistant Surgeon|Obstetrics & Gynecology|2
88238771|A00524|Anesthesiologist|Anesthesiology|
88238771|N01011|Circulating Nurse|Nursing|
88252060|S03370|Primary Surgeon|Urology|1
88252060|S09027|Assistant Surgeon|General Surgery|2
88252060|S09064|Assistant Surgeon|Urology|3
88252060|A00557|Anesthesiologist|Anesthesiology|
88252060|N01188|Circulating Nurse|Nursing|
88205480|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88205480|A00529|Anesthesiologist|Anesthesiology|
88205480|N01182|Circulating Nurse|Nursing|
88214111|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88214111|A00498|Anesthesiologist|Anesthesiology|
88214111|N01095|Circulating Nurse|Nursing|
88243018|S02955|Primary Surgeon|General Surgery|1
88243018|A00581|Anesthesiologist|Anesthesiology|
88243018|N01157|Circulating Nurse|Nursing|
88251101|S03318|Primary Surgeon|Urology|1
88251101|S09064|Assistant Surgeon|General Surgery|2
88251101|A00573|Anesthesiologist|Anesthesiology|
88251101|N01083|Circulating Nurse|Nursing|
88206165|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88206165|A00538|Anesthesiologist|Anesthesiology|
88206165|N01182|Circulating Nurse|Nursing|
88246306|S02901|Primary Surgeon|General Surgery|1
88246306|A00461|Anesthesiologist|Anesthesiology|
88246306|N01027|Circulating Nurse|Nursing|
88235209|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88235209|S09010|Assistant Surgeon|Colon & Rectal Surgery|2
88235209|A00538|Anesthesiologist|Anesthesiology|
88235209|N01081|Circulating Nurse|Nursing|
88230414|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88230414|A00548|Anesthesiologist|Anesthesiology|
88230414|N01099|Circulating Nurse|Nursing|
88244525|S02901|Primary Surgeon|General Surgery|1
88244525|A00481|Anesthesiologist|Anesthesiology|
88244525|N01094|Circulating Nurse|Nursing|
88205343|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88205343|A00512|Anesthesiologist|Anesthesiology|
88205343|N01126|Circulating Nurse|Nursing|
88246717|S02901|Primary Surgeon|General Surgery|1
88246717|A00414|Anesthesiologist|Anesthesiology|
88246717|N01081|Circulating Nurse|Nursing|
88247950|S03370|Primary Surgeon|Urology|1
88247950|S09067|Assistant Surgeon|Urology|2
88247950|A00545|Anesthesiologist|Anesthesiology|
88247950|N01131|Circulating Nurse|Nursing|
88249731|S04188|Primary Surgeon|Orthopaedic Surgery|1
88249731|S09072|Assistant Surgeon|Orthopaedic Surgery|2
88249731|A00523|Anesthesiologist|Anesthesiology|
88249731|N01100|Circulating Nurse|Nursing|
88240963|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88240963|S09065|Assistant Surgeon|Colon & Rectal Surgery|2
88240963|A00551|Anesthesiologist|Anesthesiology|
88240963|N01073|Circulating Nurse|Nursing|
88207261|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88207261|A00594|Anesthesiologist|Anesthesiology|
88207261|N01108|Circulating Nurse|Nursing|
88210549|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88210549|A00567|Anesthesiologist|Anesthesiology|
88210549|N01008|Circulating Nurse|Nursing|
88226167|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88226167|A00534|Anesthesiologist|Anesthesiology|
88226167|N01149|Circulating Nurse|Nursing|
88222605|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88222605|A00587|Anesthesiologist|Anesthesiology|
88222605|N01132|Circulating Nurse|Nursing|
88250279|S04120|Primary Surgeon|Orthopaedic Surgery|1
88250279|S09057|Assistant Surgeon|Orthopaedic Surgery|2
88250279|A00427|Anesthesiologist|Anesthesiology|
88250279|N01069|Circulating Nurse|Nursing|
88204247|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88204247|A00537|Anesthesiologist|Anesthesiology|
88204247|N01130|Circulating Nurse|Nursing|
88249868|S04120|Primary Surgeon|Orthopaedic Surgery|1
88249868|S09025|Assistant Surgeon|Orthopaedic Surgery|2
88249868|A00564|Anesthesiologist|Anesthesiology|
88249868|N01172|Circulating Nurse|Nursing|
88213015|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88213015|A00461|Anesthesiologist|Anesthesiology|
88213015|N01132|Circulating Nurse|Nursing|
88220413|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88220413|A00436|Anesthesiologist|Anesthesiology|
88220413|N01167|Circulating Nurse|Nursing|
88223153|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88223153|A00583|Anesthesiologist|Anesthesiology|
88223153|N01046|Circulating Nurse|Nursing|
88252197|S03318|Primary Surgeon|Urology|1
88252197|S09065|Assistant Surgeon|General Surgery|2
88252197|A00517|Anesthesiologist|Anesthesiology|
88252197|N01114|Circulating Nurse|Nursing|
88250553|S04188|Primary Surgeon|Orthopaedic Surgery|1
88250553|S09008|Assistant Surgeon|Plastic Surgery|2
88250553|A00429|Anesthesiologist|Anesthesiology|
88250553|N01109|Circulating Nurse|Nursing|
88214796|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88214796|A00552|Anesthesiologist|Anesthesiology|
88214796|N01139|Circulating Nurse|Nursing|
88241648|S04120|Primary Surgeon|Orthopaedic Surgery|1
88241648|A00575|Anesthesiologist|Anesthesiology|
88241648|N01053|Circulating Nurse|Nursing|
88201233|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88201233|A00445|Anesthesiologist|Anesthesiology|
88201233|N01070|Circulating Nurse|Nursing|
88230688|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88230688|S09082|Assistant Surgeon|Colon & Rectal Surgery|2
88230688|S09119|Assistant Surgeon|Urology|3
88230688|A00466|Anesthesiologist|Anesthesiology|
88230688|N01040|Circulating Nurse|Nursing|
88236031|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88236031|S09035|Assistant Surgeon|Colon & Rectal Surgery|2
88236031|A00567|Anesthesiologist|Anesthesiology|
88236031|N01172|Circulating Nurse|Nursing|
88250416|S04120|Primary Surgeon|Orthopaedic Surgery|1
88250416|S09059|Assistant Surgeon|Orthopaedic Surgery|2
88250416|A00586|Anesthesiologist|Anesthesiology|
88250416|N01074|Circulating Nurse|Nursing|
88219180|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88219180|A00521|Anesthesiologist|Anesthesiology|
88219180|N01000|Circulating Nurse|Nursing|
88234524|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88234524|S09075|Assistant Surgeon|Obstetrics & Gynecology|2
88234524|A00493|Anesthesiologist|Anesthesiology|
88234524|N01110|Circulating Nurse|Nursing|
88206713|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88206713|A00494|Anesthesiologist|Anesthesiology|
88206713|N01193|Circulating Nurse|Nursing|
88226578|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88226578|S09000|Assistant Surgeon|Obstetrics & Gynecology|2
88226578|A00448|Anesthesiologist|Anesthesiology|
88226578|N01122|Circulating Nurse|Nursing|
88249183|S03318|Primary Surgeon|Urology|1
88249183|S09072|Assistant Surgeon|Urology|2
88249183|A00512|Anesthesiologist|Anesthesiology|
88249183|N01052|Circulating Nurse|Nursing|
88231647|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88231647|S09053|Assistant Surgeon|Obstetrics & Gynecology|2
88231647|A00534|Anesthesiologist|Anesthesiology|
88231647|N01093|Circulating Nurse|Nursing|
88200548|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88200548|A00561|Anesthesiologist|Anesthesiology|
88200548|N01057|Circulating Nurse|Nursing|
88222742|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88222742|A00458|Anesthesiologist|Anesthesiology|
88222742|N01064|Circulating Nurse|Nursing|
88215892|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88215892|A00590|Anesthesiologist|Anesthesiology|
88215892|N01189|Circulating Nurse|Nursing|
88220276|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88220276|S09027|Assistant Surgeon|Obstetrics & Gynecology|2
88220276|A00490|Anesthesiologist|Anesthesiology|
88220276|N01003|Circulating Nurse|Nursing|
88225071|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88225071|S09037|Assistant Surgeon|Obstetrics & Gynecology|2
88225071|A00538|Anesthesiologist|Anesthesiology|
88225071|N01180|Circulating Nurse|Nursing|
88244114|S02901|Primary Surgeon|General Surgery|1
88244114|A00589|Anesthesiologist|Anesthesiology|
88244114|N01027|Circulating Nurse|Nursing|
88237812|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88237812|S09072|Assistant Surgeon|Colon & Rectal Surgery|2
88237812|A00436|Anesthesiologist|Anesthesiology|
88237812|N01156|Circulating Nurse|Nursing|
88252334|S03370|Primary Surgeon|Urology|1
88252334|S09063|Assistant Surgeon|General Surgery|2
88252334|A00409|Anesthesiologist|Anesthesiology|
88252334|N01119|Circulating Nurse|Nursing|
88216577|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88216577|A00457|Anesthesiologist|Anesthesiology|
88216577|N01100|Circulating Nurse|Nursing|
88249046|S03370|Primary Surgeon|Urology|1
88249046|S09066|Assistant Surgeon|Urology|2
88249046|A00556|Anesthesiologist|Anesthesiology|
88249046|N01168|Circulating Nurse|Nursing|
88239182|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88239182|S09004|Assistant Surgeon|Colon & Rectal Surgery|2
88239182|S09041|Assistant Surgeon|Obstetrics & Gynecology|3
88239182|A00533|Anesthesiologist|Anesthesiology|
88239182|N01112|Circulating Nurse|Nursing|
88219728|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88219728|S09086|Assistant Surgeon|Obstetrics & Gynecology|2
88219728|A00463|Anesthesiologist|Anesthesiology|
88219728|N01151|Circulating Nurse|Nursing|
88241785|S04120|Primary Surgeon|Orthopaedic Surgery|1
88241785|A00521|Anesthesiologist|Anesthesiology|
88241785|N01155|Circulating Nurse|Nursing|
88227948|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88227948|S09023|Assistant Surgeon|Obstetrics & Gynecology|2
88227948|A00588|Anesthesiologist|Anesthesiology|
88227948|N01152|Circulating Nurse|Nursing|
88215481|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88215481|A00443|Anesthesiologist|Anesthesiology|
88215481|N01044|Circulating Nurse|Nursing|
88200411|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88200411|A00586|Anesthesiologist|Anesthesiology|
88200411|N01061|Circulating Nurse|Nursing|
88210823|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88210823|A00535|Anesthesiologist|Anesthesiology|
88210823|N01068|Circulating Nurse|Nursing|
88223564|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88223564|A00567|Anesthesiologist|Anesthesiology|
88223564|N01077|Circulating Nurse|Nursing|
88207672|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88207672|A00493|Anesthesiologist|Anesthesiology|
88207672|N01062|Circulating Nurse|Nursing|
88248087|S03370|Primary Surgeon|Urology|1
88248087|S09087|Assistant Surgeon|Urology|2
88248087|A00412|Anesthesiologist|Anesthesiology|
88248087|N01149|Circulating Nurse|Nursing|
88245895|S02901|Primary Surgeon|General Surgery|1
88245895|A00512|Anesthesiologist|Anesthesiology|
88245895|N01033|Circulating Nurse|Nursing|
88229592|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88229592|S09023|Assistant Surgeon|Colon & Rectal Surgery|2
88229592|S09060|Assistant Surgeon|Urology|3
88229592|S09097|Assistant Surgeon|Obstetrics & Gynecology|4
88229592|A00421|Anesthesiologist|Anesthesiology|
88229592|N01043|Circulating Nurse|Nursing|
88240552|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88240552|A00470|Anesthesiologist|Anesthesiology|
88240552|N01109|Circulating Nurse|Nursing|
88237675|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88237675|S09037|Assistant Surgeon|Obstetrics & Gynecology|2
88237675|A00411|Anesthesiologist|Anesthesiology|
88237675|N01131|Circulating Nurse|Nursing|
88223975|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88223975|S09008|Assistant Surgeon|Obstetrics & Gynecology|2
88223975|A00578|Anesthesiologist|Anesthesiology|
88223975|N01070|Circulating Nurse|Nursing|
88245073|S02901|Primary Surgeon|General Surgery|1
88245073|A00515|Anesthesiologist|Anesthesiology|
88245073|N01014|Circulating Nurse|Nursing|
88220002|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88220002|A00563|Anesthesiologist|Anesthesiology|
88220002|N01035|Circulating Nurse|Nursing|
88216851|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88216851|S09084|Assistant Surgeon|Obstetrics & Gynecology|2
88216851|A00597|Anesthesiologist|Anesthesiology|
88216851|N01080|Circulating Nurse|Nursing|
88211645|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88211645|A00443|Anesthesiologist|Anesthesiology|
88211645|N01195|Circulating Nurse|Nursing|
88216714|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88216714|A00513|Anesthesiologist|Anesthesiology|
88216714|N01175|Circulating Nurse|Nursing|
88246032|S02901|Primary Surgeon|General Surgery|1
88246032|A00442|Anesthesiologist|Anesthesiology|
88246032|N01187|Circulating Nurse|Nursing|
88247813|S03370|Primary Surgeon|Urology|1
88247813|S09030|Assistant Surgeon|Urology|2
88247813|A00597|Anesthesiologist|Anesthesiology|
88247813|N01082|Circulating Nurse|Nursing|
88227674|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88227674|A00459|Anesthesiologist|Anesthesiology|
88227674|N01016|Circulating Nurse|Nursing|
88235894|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88235894|S09067|Assistant Surgeon|Colon & Rectal Surgery|2
88235894|A00593|Anesthesiologist|Anesthesiology|
88235894|N01161|Circulating Nurse|Nursing|
88239593|S01402|Primary Surgeon|Obstetrics & Gynecology|1
88239593|S09036|Assistant Surgeon|Colon & Rectal Surgery|2
88239593|A00502|Anesthesiologist|Anesthesiology|
88239593|N01020|Circulating Nurse|Nursing|
88246991|S02955|Primary Surgeon|General Surgery|1
88246991|A00516|Anesthesiologist|Anesthesiology|
88246991|N01197|Circulating Nurse|Nursing|
88203836|S00817|Primary Surgeon|Obstetrics & Gynecology|1
88203836|A00448|Anesthesiologist|Anesthesiology|
88203836|N01099|Circulating Nurse|Nursing|
88242333|S04120|Primary Surgeon|Orthopaedic Surgery|1
88242333|A00451|Anesthesiologist|Anesthesiology|
88242333|N01181|Circulating Nurse|Nursing|
88228633|S01244|Primary Surgeon|Obstetrics & Gynecology|1
88228633|A00462|Anesthesiologist|Anesthesiology|
88228633|N01131|Circulating Nurse|Nursing|
88253978|S03370|Primary Surgeon|Urology|1
88253978|S09075|Assistant Surgeon|General Surgery|2
88253978|S09112|Assistant Surgeon|Colon & Rectal Surgery|3
88253978|A00475|Anesthesiologist|Anesthesiology|
88253978|N01123|Circulating Nurse|Nursing|
88205754|S00817|Primary Surgeon|Obstetrics & Gynecology|1
